restaurant,sensitiment_score
태양생고기,"(119.0, 4.0, 0.03361344537815126)"
테이스티버거,"(95.0, 38.0, 0.4)"
토속촌삼계탕,"(139.0, 31.0, 0.22302158273381295)"
통나무집떡볶이쫄면,"(31.0, 6.0, 0.1935483870967742)"
파이브가이즈 여의도,"(55.0, 35.0, 0.6363636363636364)"
팔당족발,"(202.0, 7.0, 0.034653465346534656)"
평안도 족발집,"(125.0, 25.0, 0.2)"
포방식당,"(35.0, 4.0, 0.11428571428571428)"
포방주꾸미,"(79.0, 4.0, 0.05063291139240506)"
풀팬,"(62.0, 10.0, 0.16129032258064516)"
피자힙 잠실송리단길점,"(161.0, 13.0, 0.08074534161490683)"
피콜로,"(66.0, 12.0, 0.18181818181818182)"
한남부대찌개,"(72.0, 1.0, 0.013888888888888888)"
한상차림밥상,"(82.0, 27.0, 0.32926829268292684)"
한성돈가스,"(90.0, 21.0, 0.23333333333333334)"
할매집,"(138.0, 36.0, 0.2608695652173913)"
할범탕수육,"(68.0, 12.0, 0.17647058823529413)"
함바그동스미비,"(36.0, 5.0, 0.1388888888888889)"
함흥에겨울냉면,"(101.0, 38.0, 0.37623762376237624)"
허브영양족발,"(40.0, 3.0, 0.075)"
헬로,"(34.0, 7.0, 0.20588235294117646)"
현우동,"(79.0, 15.0, 0.189873417721519)"
형제식당,"(25.0, 3.0, 0.12)"
형제육회,"(100.0, 17.0, 0.17)"
혜화도담,"(100.0, 18.0, 0.18)"
혼고집,"(206.0, 17.0, 0.0825242718446602)"
화육계,"(20.0, 4.0, 0.2)"
효자손왕만두,"(40.0, 9.0, 0.225)"
희락갈치,"(108.0, 21.0, 0.19444444444444445)"
창화당,"(189.0, 32.0, 0.1693121693121693)"
진옥화할매원조닭한마리,"(265.0, 28.0, 0.10566037735849057)"
도이칠란드박,"(79.0, 9.0, 0.11392405063291139)"
역전회관,"(201.0, 34.0, 0.1691542288557214)"
하동관면동본점,"(273.0, 24.0, 0.08791208791208792)"
용산양꼬치,"(119.0, 25.0, 0.21008403361344538)"
제주식당,"(162.0, 38.0, 0.2345679012345679)"
효도치킨광화문점,"(64.0, 12.0, 0.1875)"
도일처,"(93.0, 34.0, 0.3655913978494624)"
한가람,"(477.0, 35.0, 0.07337526205450734)"
높은집종가산꼼장어,"(48.0, 1.0, 0.020833333333333332)"
화해당여의도,"(198.0, 31.0, 0.15656565656565657)"
카미야,"(149.0, 8.0, 0.053691275167785234)"
남영탉,"(178.0, 37.0, 0.20786516853932585)"
한옥집김치찜서대문본점,"(194.0, 24.0, 0.12371134020618557)"
가나점보돈까스,"(67.0, 9.0, 0.13432835820895522)"
녹원쌈밤연희점,"(165.0, 31.0, 0.18787878787878787)"
연희곰탕,"(30.0, 6.0, 0.2)"
산마루돌구이,"(71.0, 2.0, 0.028169014084507043)"
